00003780 FUN_00003780
8000f4a0 FUN_8000f4a0
8000f4f4 FUN_8000f4f4
8000f53c wraps_multi_VSC_called_if_no_patch3
8000f584 FUN_8000f584
8000f624 FUN_8000f624
8000f628 FUN_8000f628
8000f658 FUN_8000f658
8000f8bc FUN_8000f8bc
8000fa48 FUN_8000fa48
8000fab0 FUN_8000fab0
8000fae8 VSC_0xfc39_wrapper_FUN_8000fae8
8000fb20 FUN_8000fb20
8000fb5c lots_of_initialization
8000fd38 copies_config_bdaddr
8000fdc0 FUN_8000fdc0
8000fdf8 FUN_8000fdf8
8000fe4c FUN_8000fe4c
800100e4 FUN_800100e4
800101f4 FUN_800101f4
80010324 FUN_80010324
800103dc FUN_800103dc
80010660 FUN_80010660
80010814 FUN_80010814
8001094c FUN_8001094c
80010964 FUN_80010964
800109ac calls_to_0x8010a001_as_fptr_to_install_patches
8001136c FUN_8001136c
8001139c FUN_8001139c
800113e0 FUN_800113e0
800113e4 FUN_800113e4
80011468 FUN_80011468
80011510 FUN_80011510
80011584 FUN_80011584
800115c8 FUN_800115c8
80011608 FUN_80011608
80011688 FUN_80011688
8001170c FUN_8001170c
80011768 FUN_80011768
800117a4 FUN_800117a4
800117b8 FUN_800117b8
800117cc FUN_800117cc
8001183c FUN_8001183c
8001186c FUN_8001186c
8001189c FUN_8001189c
800118c8 FUN_800118c8
8001190c FUN_8001190c
800119cc FUN_800119cc
800119e0 FUN_800119e0
80011a18 called_if_config[0xf2]&4
80011a3c FUN_80011a3c
80011a74 FUN_80011a74
80011ab0 FUN_80011ab0
80011b6c FUN_80011b6c
80011bf4 FUN_80011bf4
80011c60 FUN_80011c60
80011d4c FUN_80011d4c
80011d9c LMP_CH__0x3ee__case2_else_2_FUN_80011d9c
80011e10 LMP_CH__0x3ee__case2_else_1_FUN_80011fc0FUN_80011e10
80011fc0 LMP_CH__0x3ee__case1_if_FUN_80011fc0
800120ac VSC_0xfc11_2_FUN_800120ac
800120f0 FUN_800120f0
800121a8 FUN_800121a8
800121ec FUN_800121ec
800122b8 FUN_800122b8
800122fc FUN_800122fc
80012658 unknown_referencing_default_name_6
80012820 FUN_80012820
800128e0 FUN_800128e0
80012af8 FUN_80012af8
80012c18 VSC_0xfc11_1_FUN_80012c18
80012cd0 FUN_80012cd0
80012d14 FUN_80012d14
80012d18 FUN_80012d18
80012d1c FUN_80012d1c
80012d20 FUN_80012d20
80012d4c FUN_80012d4c
80012dbc FUN_80012dbc
80012e04 called_if_config[1]&4
80012e38 FUN_80012e38
80012e80 FUN_80012e80
80012ec8 FUN_80012ec8
80012f18 FUN_80012f18
80012f8c FUN_80012f8c
80012fc8 FUN_80012fc8
80013074 VSC_0xfc39_2_FUN_80013074
80013118 FUN_80013118
80013178 FUN_80013178
8001318c FUN_8001318c
800131a0 FUN_800131a0
800131e4 FUN_800131e4
800132b4 FUN_800132b4
800132c8 FUN_800132c8
800132f4 FUN_800132f4
800133d4 FUN_800133d4
80013418 FUN_80013418
8001341c FUN_8001341c
80013420 FUN_80013420
80013424 FUN_80013424
80013438 FUN_80013438
8001343c second_set_func_in_set_two_global_ptrs
80013474 return_1
80013478 FUN_80013478
8001347c unknown_referencing_default_name_7
80013540 FUN_80013540
8001359c FUN_8001359c
800135bc FUN_800135bc
8001365c FUN_8001365c
800136b8 FUN_800136b8
80013780 FUN_80013780
80013840 FUN_80013840
800138cc unknown_fptr_index0
80013bc0 FUN_80013bc0
80013bcc FUN_80013bcc
80013be4 FUN_80013be4
80013c0c FUN_80013c0c
80013c3c FUN_80013c3c
80013c64 FUN_80013c64
80013cc0 FUN_80013cc0
80013cec FUN_80013cec
80013d38 FUN_80013d38
80013dc4 FUN_80013dc4
80013e2c FUN_80013e2c
80013e78 FUN_80013e78
80013ee8 FUN_80013ee8
80013f0c FUN_80013f0c
80013ff0 FUN_80013ff0
8001401c FUN_8001401c
80014048 FUN_80014048
80014054 VSC_0xfcc0_FUN_80014054
8001409c FUN_8001409c
800140d8 FUN_800140d8
80014160 FUN_80014160
80014180 FUN_80014180
800141c8 FUN_800141c8
800141d8 FUN_800141d8
80014208 FUN_80014208
80014254 FUN_80014254
80014290 FUN_80014290
800142f8 FUN_800142f8
80014354 FUN_80014354
800143b0 FUN_800143b0
80014450 FUN_80014450
800144b8 FUN_800144b8
80014524 FUN_80014524
800145e8 FUN_800145e8
8001465c FUN_8001465c
800146c4 FUN_800146c4
80014770 FUN_80014770
800147b0 FUN_800147b0
8001483c FUN_8001483c
800148ac FUN_800148ac
800148f0 VSC_0xfcc2_FUN_800148f0
80014928 FUN_80014928
8001495c FUN_8001495c
800149d0 FUN_800149d0
80014a44 sometimes_called_with_0_3_0
80014b30 FUN_80014b30
80014ba8 FUN_80014ba8
80014c58 FUN_80014c58
80014cf4 call_to_multi_VSC_e.g._0xfcc4_unknown
80014d50 FUN_80014d50
80014dac FUN_80014dac
80014e40 FUN_80014e40
80014f3c FUN_80014f3c
80014fb8 FUN_80014fb8
80015004 FUN_80015004
8001502c FUN_8001502c
80015110 FUN_80015110
80015288 FUN_80015288
800152e4 FUN_800152e4
80015398 FUN_80015398
800153b8 FUN_800153b8
800153d4 FUN_800153d4
80015408 FUN_80015408
80015460 FUN_80015460
800154f0 FUN_800154f0
80015614 FUN_80015614
8001574c send_evt_invalid_0xFF
800157b8 FUN_800157b8
800158f8 FUN_800158f8
80015a68 FUN_80015a68
80015c40 FUN_80015c40
80015c98 FUN_80015c98
80015d44 FUN_80015d44
80015d9c FUN_80015d9c
80015dfc FUN_80015dfc
80015eb4 FUN_80015eb4
80015f14 FUN_80015f14
80015fc0 FUN_80015fc0
80016020 FUN_80016020
80016080 FUN_80016080
800160d0 FUN_800160d0
800161e4 FUN_800161e4
80016624 FUN_80016624
80016780 wrap_look_for_non_matching_bdaddr_bos_index_i.e._free_connection_slot
800167cc FUN_800167cc
80016824 FUN_80016824
80016904 FUN_80016904
80016934 FUN_80016934
80016dac FUN_80016dac
80016e68 FUN_80016e68
800171bc FUN_800171bc
8001728c wraps_calls_to_VSC_0xfcc0_then_calls_fptr
800172bc FUN_800172bc
800174a8 FUN_800174a8
800174fc FUN_800174fc
8001756c FUN_8001756c
800175bc FUN_800175bc
800175e8 FUN_800175e8
80017618 FUN_80017618
80017634 FUN_80017634
80017650 FUN_80017650
8001766c FUN_8001766c
80017684 FUN_80017684
800176d8 FUN_800176d8
8001772c FUN_8001772c
80017748 FUN_80017748
800177a4 FUN_800177a4
800177e8 FUN_800177e8
800177f8 FUN_800177f8
8001784c FUN_8001784c
80017878 FUN_80017878
800178fc FUN_800178fc
80017930 FUN_80017930
80017974 FUN_80017974
800179a8 FUN_800179a8
800179bc FUN_800179bc
800179d8 FUN_800179d8
80017a04 FUN_80017a04
80017ad4 FUN_80017ad4
80017b88 FUN_80017b88
80017ba8 FUN_80017ba8
80017bac FUN_80017bac
80017bd8 FUN_80017bd8
80017bf8 FUN_80017bf8
80017c18 FUN_80017c18
80017c3c FUN_80017c3c
80017c5c FUN_80017c5c
80017d2c FUN_80017d2c
80017d84 FUN_80017d84
80017dcc FUN_80017dcc
80018120 FUN_80018120
800181f4 FUN_800181f4
80018314 FUN_80018314
8001840c FUN_8001840c
80018654 FUN_80018654
80018c14 ret_wrapper
80018c18 FUN_80018c18
80018c2c FUN_80018c2c
80018c30 FUN_80018c30
80018c6c FUN_80018c6c
80018c80 FUN_80018c80
80018ce0 FUN_80018ce0
80018d44 HCI_Setup_Synchronous_Connection_LMP_Feature_Checker
80018dcc FUN_80018dcc
80018e04 FUN_80018e04
80018e58 send_HCI_Command_Status_for_HCI_0x0A
80018f38 FUN_80018f38
80019024 FUN_80019024
80019050 FUN_80019050
800191a8 FUN_800191a8
800192c4 FUN_800192c4
800194a0 FUN_800194a0
80019504 FUN_80019504
80019594 send_HCI_Command_Status_for_HCI_0x09
80019714 FUN_80019714
80019774 FUN_80019774
80019830 send_HCI_Command_Status_for_HCI_0x07
80019ad0 OGC_3_OCF_3f
80019b88 OGC_3_OCF_49
80019bac OGC_3_OCF_45
80019bd0 OGC_3_OCF_47
80019bf4 OGC_3_default_func_0_OCF_0x3F_and_above
80019c88 deal_with_OGF_3_OCF_0x3f-0x49
80019d0c FUN_80019d0c
80019d80 fHCI_Setup_Synchronous_Connection?
80019e4c send_evt_HCI_Read_Remote_Extended_Features_Complete
80019e88 send_evt_HCI_Synchronous_Connection_Changed
80019f0c send_evt_HCI_Synchronous_Connection_Complete
8001a000 FUN_8001a000
8001a070 FUN_8001a070
8001a0bc FUN_8001a0bc
8001a0c8 FUN_8001a0c8
8001a0f8 calls_to_VSC_0xfcc0
8001a128 FUN_8001a128
8001a184 FUN_8001a184
8001a25c FUN_8001a25c
8001a294 OGC_3_OCF_0x52_HCI_Write_Extended_Inquiry_Response_fills_0x300_then_calls_to_VSC_0xfcc0
8001a350 OGC_3_OCF_0x51_and_above_path_to_VSC_0xfcc0
8001a420 send_evt_HCI_Remote_Host_Supported_Features_Notification
8001a458 send_evt_HCI_Enhanced_Flush_Complete
8001a47c send_evt_HCI_Link_Supervision_Timeout_Changed
8001a4a8 send_evt_HCI_Sniff_Subrating
8001a5b8 send_evt_HCI_Extended_Inquiry_Result
8001a658 FUN_8001a658
8001a7bc FUN_8001a7bc
8001a7e0 FUN_8001a7e0
8001a81c FUN_8001a81c
8001a838 FUN_8001a838
8001a898 OGC_3_default_func_2
8001a8e0 FUN_8001a8e0
8001a9b8 bit_test_[bit_index_at_offset_0x16f]_within_[short_at_offset_0x24]
8001a9f0 FUN_8001a9f0
8001aa20 FUN_8001aa20
8001aa3c FUN_8001aa3c
8001ab44 FUN_8001ab44
8001ac74 FUN_8001ac74
8001acd8 FUN_8001acd8
8001ad44 FUN_8001ad44
8001af9c LMP_0x18_LMP_UNSNIFF_REQ
8001b01c FUN_8001b01c
8001b23c fHCI_Read_LMP_Handle_0x20
8001b2c0 fHCI_Read_Clock_Offset_0x1F
8001b370 fHCI_Read_Remote_Version_Information_0x1D
8001b4e8 fHCI_Read_Remote_Supported_Features_0x1B
8001b54c fHCI_Remote_Name_Request_0x19
8001b750 FUN_8001b750
8001b780 FUN_8001b780
8001b84c fHCI_Change_Connection_Packet_Type_0x0F
8001b8fc fHCI_Add_SCO_Connection_DEPRECATED_0x07
8001b9d4 fHCI_Disconnect_0x06
8001baf8 fHCI_Reject_Connection_Request_0x0A
8001bbbc fHCI_Accept_Connection_Request_0x09
8001bd38 fHCI_Create_Connection_0x05
8001bf44 fHCI_Periodic_Inquiry_Mode_0x03
8001bfa0 fHCI_Inquiry_0x01
8001bfd8 FUN_8001bfd8
8001bfdc FUN_8001bfdc
8001c074 FUN_8001c074
8001c130 FUN_8001c130
8001c14c FUN_8001c14c
8001c24c FUN_8001c24c
8001c324 set_check_for_1_to_1
8001c438 OGC_3_default_func_4
8001c490 HCI_OGF1_OCF0x44
8001c550 HCI_OGF1_OCF0x43
8001c574 HCI_OGF1_OCF0x42
8001c6b8 HCI_OGF1_OCF0x41
8001c788 fHCI_Truncated_Page_Cancel_0x40
8001c7b4 fHCI_Truncated_Page_0x3F
8001c940 call_to_HCI_opcodes_OGF=1_0x3F-to-0x44
8001c9d4 FUN_8001c9d4
8001ca94 send_evt_HCI_Inquiry_Response_Notification
8001cad4 send_evt_HCI_Connectionless_Peripheral_Broadcast_Channel_Map_Change
8001cafc send_evt_HCI_Peripheral_Page_Response_Timeout
8001cb10 send_evt_HCI_Connectionless_Peripheral_Broadcast_Timeout
8001cb68 send_evt_HCI_Synchronization_Train_Complete
8001cb80 send_evt_HCI_Triggered_Clock_Capture
8001cbcc send_evt_HCI_Truncated_Page_Complete
8001cc04 send_evt_HCI_Synchronization_Train_Received
8001cc80 send_evt_HCI_Connectionless_Peripheral_Broadcast_Receive
8001cd74 initialize_0x28_sized_struct
8001cfc4 FUN_8001cfc4
8001d03c FUN_8001d03c
8001d070 hci_event_sender
8001d1bc send_evt_HCI_Hardware_Error
8001d1d4 send_evt_HCI_Flush_Occurred
8001d1f8 send_evt_HCI_Connection_Complete
8001d244 send_evt_HCI_Loopback_Command
8001d280 send_evt_0x21_HCI_Flow_Specification_Complete
8001d308 send_evt_0x0D_HCI_QoS_Setup_Complete
8001d388 send_evt_HCI_Role_Change
8001d3d4 send_evt_HCI_Max_Slots_Change
8001d3f8 send_event_HCI_Connection_Packet_Type_Changed
8001d424 called_by_fHCI_Read_LMP_Handle_send_evt_HCI_Command_Complete
8001d474 send_evt_HCI_Read_Clock_Offset_Complete
8001d4a0 send_evt_HCI_Read_Remote_Version_Information_Complete
8001d534 send_evt_HCI_Read_Remote_Supported_Features_Complete
8001d564 send_evt_HCI_Remote_Name_Request_Complete
8001d5b4 send_evt_0x14_HCI_Mode_Change
8001d5fc send_evt_HCI_Disconnection_Complete
8001d804 send_evt_HCI_Connection_Request
8001d844 send_evt_HCI_Connection_Complete
8001d904 send_evt_HCI_Inquiry_Result_or_HCI_Inquiry_Result_with_RSSI
8001da0c send_evt_HCI_Inquiry_Complete
8001da3c send_evt_HCI_Number_Of_Completed_Packets
8001dc10 OGC_3_OCF_TONS_deal_with_return_status_referencing_default_name_10
8001e5d8 send_evt_HCI_Command_Status
8001e610 OGC_3_OCF_01
8001e648 OGC_3_OCF_33
8001e67c OGC_3_OCF_2a
8001e68c OGC_3_OCF_2f
8001e6a4 OGC_3_OCF_31
8001e6bc OGC_3_OCF_13_referencing_default_name
8001e6fc OGC_3_OCF_16
8001e72c OGC_3_OCF_18
8001e748 OGC_3_OCF_3c
8001e760 OGC_3_OCF_3e
8001e780 HCI_Read_Loopback_Mode
8001e784 HCI_Enable_Device_Under_Test_Mode
8001e7a8 FUN_8001e7a8
8001ea34 HCI_Write_Loopback_Mode
8001eb50 OGC_3_OCF_28
8001ebac OGC_3_OCF_27
8001ebd0 OGC_3_OCF_36
8001ec20 OGC_3_OCF_37
8001ecd8 OGC_3_OCF_26
8001ed98 OGC_3_OCF_24
8001ede4 OGC_3_OCF_1e
8001ee34 OGC_3_OCF_1c
8001eea4 OGC_3_OCF_1a
8001ef0c FUN_8001ef0c
8001ef54 OGC_3_OCF_35
8001f098 OGC_3_OCF_2d
8001f184 OGC_3_OCF_3a
8001f230 OGC_3_OCF_08
8001f2ac OGC_3_OCF_05
8001f408 unknown_referencing_default_name_7
8001f6f4 FUN_8001f6f4
8001f6f8 FUN_8001f6f8
8001f6fc FUN_8001f6fc
8001f7a4 FUN_8001f7a4
8001f7e4 FUN_8001f7e4
8001f848 FUN_8001f848
8001f908 FUN_8001f908
8001f94c OGC_3_default_func_5
8001f9cc fHCI_Remote_OOB_Extended_Data_Request_Reply_0x45
8001fb10 wrap_fHCI_Remote_OOB_Extended_Data_Request_Reply_0x45
8001fb4c send_evt_HCI_Authenticated_Payload_Timeout_Expired
8001fb70 FUN_8001fb70
8001fce0 HCI_EVT_0x1fc_FUN_8001fce0
8001fd20 FUN_8001fd20
8001feb0 FUN_8001feb0
8001fef8 HCI_EVT_0x1f6_FUN_8001fef8
8001ffdc FUN_8001ffdc
800200a8 HCI_CMD_OGF_06__TestMode__big_switch_FUN_800200a8
8002013c HCI_CMD_OGF_04?__wraps__possible_OGF0?_referencing_default_name_10
80020188 HCI_CMD_OGF_05__Status_Parameters__FUN_80020188
800202c0 HCI_CMD_OGF_03__Controller_and_Baseband__big_switch_FUN_800202c0
8002060c HCI_CMD_OGF_02__Link_Policy__FUN_8002060c
80020814 HCI_CMD_OGF_01__Link_Control__FUN_80020814
80020bec assoc_w_tHCI_EVT
80020ee0 assoc_w_tHCI_CMD
800211b4 copy_bytes_in_LSB_order
800211d0 FUN_800211d0
800211f4 HCI_EVT_0x452_if_arg<0x41_copy_8_bytes
80021240 FUN_80021240
80021290 FUN_80021290
800212a0 FUN_800212a0
80021304 FUN_80021304
80021310 FUN_80021310
800213d0 FUN_800213d0
8002141c FUN_8002141c
8002143c FUN_8002143c
800214f4 FUN_800214f4
8002155c FUN_8002155c
800215a4 FUN_800215a4
800215e0 FUN_800215e0
80021614 FUN_80021614
80021754 FUN_80021754
80021838 FUN_80021838
800218c0 FUN_800218c0
800218ec FUN_800218ec
80021910 FUN_80021910
80021924 initialize_some_global_struct_FUN_80021924
800219a4 FUN_800219a4
80021a04 FUN_80021a04
80021a94 FUN_80021a94
80021ab0 interesting_string_user_FUN_80021ab0
80021ba0 calls_reg_multiple_dptrs?_FUN_80021ba0
80021c9c calls_interesting_string_user_FUN_80021c9c
80021cb8 FUN_80021cb8
80021cd4 FUN_80021cd4
80021d00 FUN_80021d00
80021d34 FUN_80021d34
80021d7c FUN_80021d7c
80021d8c FUN_80021d8c
80021da0 FUN_80021da0
80021dcc FUN_80021dcc
80021e3c FUN_80021e3c
80021e6c FUN_80021e6c
80021ea0 FUN_80021ea0
80021ec8 return_if_encryption_enabled_byte_at_bos_offset_0x58_ptr_index[0x26]
80021ee8 FUN_80021ee8
80021f08 FUN_80021f08
80021f1c FUN_80021f1c
80021f30 FUN_80021f30
80021f44 get_byte[0x26]_in_unknown_ptr_0x58_points_to_struct_at_least_0x27_big
80021f6c FUN_80021f6c
80021fa0 FUN_80021fa0
80022030 LMP__266__FUN_80022030
80022098 FUN_80022098
800220fc FUN_800220fc
8002217c FUN_8002217c
80022190 FUN_80022190
800221f0 FUN_800221f0
80022210 FUN_80022210
800222b0 FUN_800222b0
80022328 FUN_80022328
8002235c FUN_8002235c
800223a8 FUN_800223a8
800223dc FUN_800223dc
80022450 FUN_80022450
80022530 FUN_80022530
800225a8 FUN_800225a8
80022664 FUN_80022664
80022694 FUN_80022694
800226ec FUN_800226ec
8002271c send_evt_HCI_Encryption_Change[v1]
8002275c send_evt_HCI_Change_Connection_Link_Key_Complete
80022794 send_evt_HCI_Link_Key_Notification
800228b4 send_evt_HCI_Authentication_Complete
800228ec send_evt_HCI_Return_Link_Keys
80022950 FUN_80022950
80022c40 send_evt_HCI_PIN_Code_Request
80022c88 FUN_80022c88
80022e28 FUN_80022e28
80022e54 FUN_80022e54
80022eec many_sub_if_else_cases_on_param2
80022f54 send_evt_HCI_Link_Key_Request
80022f9c FUN_80022f9c
80022ff4 FUN_80022ff4
